Image_Name,First_order_moment,,,Second_order_moment,,,Third_order_moment,,,class
,R,G,B,R,G,B,R,G,B,
 'Clean_water\\1 (2).jpg',0.0185,1.2714,1.3673,0.0255,0.1517,0.1101,0.0176,-0.0026,-0.0002,Clean
 'Clean_water\\1 (3).jpg',0.0088,0.7979,1.2789,0.0116,0.0633,0.0586,0.0152,-0.001,-0.0084,Clean
 'Clean_water\\1 (4).jpg',0.3818,1.7833,1.9392,0.6184,0.4045,0.214,0.0134,-0.0166,-0.0173,Clean
 'Clean_water\\1 (5).jpg',1.1441,1.6544,1.9084,0.6948,0.568,0.5013,-0.0008,-0.0042,-0.0073,Clean
 'Clean_water\\1 (7).jpg',1.2278,1.9341,1.5803,0.4394,0.1917,0.249,-0.0016,-0.0059,-0.0044,Clean
 'Clean_water\\10 (2).jpg',0.8745,1.9625,2.1816,0.3721,0.1701,0.1334,0.0106,0.0084,0.0055,Clean
 'Clean_water\\10 (3).jpg',0.7155,1.8573,1.8753,0.2746,0.0837,0.0929,0.0015,0.0011,0.0029,Clean
 'Clean_water\\10 (5).jpg',0.8795,1.743,1.8713,0.1008,0.0884,0.0801,-0.0011,-0.0177,-0.0213,Clean
 'Clean_water\\10 (6).jpg',1.6817,1.9769,1.8847,0.1592,0.101,0.1178,-0.0061,-0.0016,-0.0011,Clean
 'Clean_water\\10 (7).jpg',1.63,2.1153,2.1463,0.3688,0.1529,0.1652,0.0038,0.0072,0.0058,Clean
 'Clean_water\\10 (8).jpg',1.6702,1.9746,1.8857,0.1839,0.1227,0.1376,-0.0074,-0.0023,-0.002,Clean
 'Clean_water\\100 (2).jpg',0.1511,1.4782,1.5216,0.1029,0.1296,0.1232,0.0051,-0.0007,0.0001,Clean
 'Clean_water\\100 (3).jpg',0.6144,2.2204,2.3376,0.3194,0.1446,0.1052,0.0016,-0.001,0.0003,Clean
 'Clean_water\\101 (2).jpg',0.0074,2.0012,1.6974,0.0324,0.0778,0.0569,0.0292,-0.0037,0.0012,Clean
 'Clean_water\\102 (2).jpg',0.4324,1.42,1.3554,0.0356,0.0848,0.0804,0.0024,0.0001,-0.0006,Clean
 'Clean_water\\102 (3).jpg',1.334,2.1918,2.2933,0.2425,0.0498,0.053,-0.0034,0.0035,0.0054,Clean
 'Clean_water\\102 (4).jpg',1.3934,1.9673,2.0447,0.282,0.1684,0.0997,-0.0066,-0.0124,-0.0097,Clean
 'Clean_water\\102 (5).jpg',0.0378,1.2181,1.7718,0.1441,0.3207,0.2299,0.0435,0.0078,0.005,Clean
 'Clean_water\\102 (6).jpg',0.4197,1.395,1.3235,0.0355,0.1035,0.0822,0.0016,0.002,0.0007,Clean
 'Clean_water\\103 (2).jpg',0.0122,1.6001,1.6266,0.0314,0.1907,0.1462,0.0277,0.0008,0.0018,Clean
 'Clean_water\\103 (3).jpg',0.9695,1.9926,1.9189,0.3208,0.0704,0.0715,-0.0059,-0.004,-0.0025,Clean
 'Clean_water\\103 (4).jpg',1.1855,1.9555,2.1273,0.3668,0.1238,0.0533,-0.0012,-0.0038,-0.0029,Clean
 'Clean_water\\103 (6).jpg',0.007,1.272,1.3557,0.0088,0.1739,0.1614,0.0122,0.005,0.0063,Clean
 'Clean_water\\103 (7).png',1.747,1.8172,1.9123,0.1036,0.1752,0.2293,-0.0075,-0.0045,-0.0048,Clean
 'Clean_water\\104 (2).png',1.6953,2.1574,1.8301,0.0947,0.0647,0.062,-0.0027,0.0031,0.0014,Clean
 'Clean_water\\104 (3).png',1.6561,2.0942,1.874,0.0996,0.0728,0.0699,-0.0014,-0.0004,0.0032,Clean
 'Clean_water\\104 (4).png',0.2682,1.7136,2.081,0.3145,0.2283,0.1852,0.015,0.0044,0.003,Clean
 'Clean_water\\104 (5).png',1.0043,1.5239,1.5361,0.1909,0.1447,0.1313,0.0013,0.0013,0.0008,Clean
 'Clean_water\\104 (6).png',1.6473,2.2635,2.1084,0.3109,0.0906,0.11,-0.0042,-0.0017,-0.0026,Clean
 'Clean_water\\104 (7).png',0.2295,1.4108,2.0508,0.2568,0.1877,0.1681,0.0444,0.0144,0,Clean
 'Clean_water\\105 (2).png',0.7416,2.1008,2.3238,0.7295,0.2127,0.078,0.0015,-0.0015,-0.0006,Clean
 'Clean_water\\105 (4).png',0.1873,1.6843,2.0795,0.1477,0.3262,0.1916,0.026,0.0032,-0.0042,Clean
 'Clean_water\\106 (2).png',1.7717,2.0497,1.8751,0.1359,0.068,0.0691,-0.0021,0.0016,0.0011,Clean
 'Clean_water\\106 (3).png',0.2604,1.7337,1.6354,0.277,0.1245,0.1543,0.005,-0.0018,-0.0004,Clean
 'Clean_water\\106 (4).png',0.6611,1.5729,1.5439,0.3751,0.2128,0.1308,0.0025,0.0022,0.0066,Clean
 'Clean_water\\106 (5).png',0.1122,2.2026,2.176,0.1706,0.1133,0.1134,0.0152,-0.0009,-0.002,Clean
 'Clean_water\\106 (6).png',1.3818,1.5471,1.3055,0.28,0.3026,0.2993,0.0018,0.0014,0.0012,Clean
 'Clean_water\\107 (2).png',1.7334,2.1525,2.1086,0.2486,0.1189,0.1576,-0.007,0.003,0.0016,Clean
 'Clean_water\\107 (3).png',1.1439,2.002,1.9559,0.3095,0.0706,0.1021,0.0114,0.0008,-0.0012,Clean
 'Clean_water\\107 (4).png',0.4138,1.793,1.9273,0.1105,0.0599,0.0868,-0.0021,-0.0036,-0.0035,Clean
 'Clean_water\\107 (5).png',1.2971,1.9477,1.9225,0.4161,0.202,0.1672,-0.0035,-0.009,-0.0069,Clean
 'Clean_water\\107 (6).png',1.0585,1.9116,1.8856,0.3121,0.1281,0.13,-0.0029,-0.0045,-0.0038,Clean
 'Clean_water\\108 (2).png',0.0775,1.1844,1.4423,0.2577,0.2283,0.2172,0.033,0.0145,0.015,Clean
 'Clean_water\\108 (3).png',0.9278,1.6608,1.8414,0.1632,0.1294,0.1071,0.009,0.0119,0.0114,Clean
 'Clean_water\\108 (4).png',1.7946,1.9005,1.6245,0.0818,0.0712,0.0745,0.0014,0.0004,-0.0029,Clean
 'Clean_water\\109 (2).png',0.0152,1.7063,2.0131,0.0727,0.1218,0.0669,0.0556,0.0044,0.0088,Clean
 'Clean_water\\109 (3).png',0.5682,2.119,2.0997,0.414,0.0818,0.0493,-0.0002,0.0016,-0.0054,Clean
 'Clean_water\\109 (4).png',0.0478,0.8017,1.3753,0.0777,0.137,0.141,0.0212,0.0082,0.0089,Clean
 'Clean_water\\109 (5).png',1.4893,2.1889,2.3097,0.2521,0.1137,0.0955,-0.0056,0.0025,0.0014,Clean
 'Clean_water\\109 (6).png',0.3132,1.2747,1.914,0.0441,0.2044,0.2009,-0.0014,-0.0032,-0.0053,Clean
 'Clean_water\\109 (7).png',0.8768,2.1272,2.0419,0.5589,0.1064,0.0955,-0.0028,0.0076,-0.0051,Clean
 'Clean_water\\110 (2).png',0.0155,0.7991,1.2782,0.0217,0.2059,0.2099,0.0197,0.0054,0.0047,Clean
 'Clean_water\\110 (4).png',1.0139,1.5171,1.6198,0.1568,0.1542,0.1661,-0.0021,-0.0064,-0.0083,Clean
 'Clean_water\\110 (5).png',0.0494,1.1723,1.2664,0.0526,0.0861,0.0763,0.011,-0.0004,0.0007,Clean
 'Clean_water\\112 (2).png',1.6192,2.3159,2.3992,0.1116,0.0664,0.0682,-0.0026,-0.0005,-0.0033,Clean
 'Clean_water\\2 (11).png',0.0108,1.7483,1.966,0.03,0.1675,0.1535,0.0213,-0.0027,-0.0044,Clean
 'Clean_water\\2 (12).png',2.0095,2.3292,2.4374,0.1573,0.0621,0.019,-0.0034,-0.0031,0.0004,Clean
 'Clean_water\\2 (2).png',1.3128,2.1985,1.9523,0.627,0.134,0.1502,-0.0036,0.0036,0.0009,Clean
 'Clean_water\\2 (3).png',0.6339,2.1344,2.0154,0.4299,0.1502,0.1801,0.0064,0.0039,-0.0008,Clean
 'Clean_water\\2 (4).png',0.6551,1.8974,2.2839,0.1651,0.1404,0.0601,-0.0172,-0.0073,-0.0084,Clean
 'Clean_water\\2 (5).png',1.1261,1.9416,1.9799,0.1968,0.1102,0.1124,0.0004,0,0.0007,Clean
 'Clean_water\\2 (6).png',1.4178,2.0499,2.0732,0.328,0.1737,0.1971,-0.0027,-0.0047,-0.0053,Clean
 'Clean_water\\2 (7).png',0.6513,2.0697,2.1457,0.7052,0.1233,0.1055,0.0081,-0.0101,-0.0058,Clean
 'Clean_water\\2 (8).png',0.6925,2.1492,2.0043,0.5739,0.1567,0.1232,0.0056,0.0018,0.0014,Clean
 'Clean_water\\2 (9).png',1.8703,2.1803,1.8776,0.2808,0.1297,0.1496,-0.0058,0.0038,0.004,Clean
 'Clean_water\\2022-11-02 (10).png',1.4479,2.0325,2.1864,0.2233,0.1489,0.1397,0.0029,-0.0027,-0.0053,Clean
 'Clean_water\\2022-11-02 (11).png',0.2842,1.7548,2.0614,0.2652,0.1446,0.1358,0.017,-0.0036,-0.0022,Clean
 'Clean_water\\2022-11-02 (12).png',1.2454,1.6293,1.5655,0.1121,0.0915,0.1318,-0.0029,-0.0045,0.0052,Clean
 'Clean_water\\2022-11-02 (13).png',0.3172,0.922,1.2339,0.4721,0.4541,0.4091,0.018,0.009,0.0076,Clean
 'Clean_water\\2022-11-02 (14).png',0.0239,1.1437,1.41,0.0483,0.2637,0.192,0.0245,-0.0005,-0.0043,Clean
 'Clean_water\\2022-11-02 (15).png',0.8215,2.2961,2.5167,0.5097,0.1954,0.0299,0.0018,-0.0084,-0.0124,Clean
 'Clean_water\\2022-11-02 (16).png',0.0091,1.9168,1.6751,0.0143,0.0871,0.1289,0.0193,-0.0016,-0.0043,Clean
 'Clean_water\\2022-11-02 (17).png',1.5571,1.9718,2.1752,0.2114,0.1616,0.1473,0.0055,0.0064,0.0021,Clean
 'Clean_water\\2022-11-02 (18).png',1.2375,1.8688,2.3257,0.3538,0.2176,0.0966,0.0011,0.0002,-0.0017,Clean
 'Clean_water\\2022-11-02 (19).png',0.7428,1.7431,1.9052,0.3419,0.1463,0.0885,-0.0074,-0.0127,-0.0125,Clean
 'Clean_water\\2022-11-02 (2).png',0.4645,1.9906,2.1124,0.3076,0.2045,0.187,0.0025,0.0016,0.002,Clean
 'Clean_water\\2022-11-02 (20).png',1.1286,1.6248,1.6114,0.6984,0.5708,0.3322,0.0004,-0.0054,-0.0056,Clean
 'Clean_water\\2022-11-02 (21).png',0.2431,1.871,1.9783,0.3334,0.1837,0.1494,0.0131,-0.0018,0.0002,Clean
 'Clean_water\\2022-11-02 (22).png',2.4422,2.4091,2.3336,0.0504,0.0386,0.0361,-0.0071,0.0057,-0.0007,Clean
 'Clean_water\\2022-11-02 (23).png',0.1812,1.7857,2.0704,0.357,0.0982,0.1116,0.0181,0.0136,0.003,Clean
 'Clean_water\\2022-11-02 (24).png',0.6693,2.114,2.3571,0.4293,0.1043,0.0641,-0.0037,-0.0072,-0.0104,Clean
 'Clean_water\\2022-11-02 (25).png',0.9538,2.1787,2.3344,0.4634,0.0554,0.0516,-0.0013,0.0005,0.0038,Clean
 'Clean_water\\2022-11-02 (26).png',0.1196,1.6203,1.521,0.1823,0.0792,0.0913,0.0142,0.0017,0.0029,Clean
 'Clean_water\\2022-11-02 (27).png',0.9659,1.9591,2.0109,0.2549,0.2182,0.2864,0.0056,0.0001,-0.0029,Clean
 'Clean_water\\2022-11-02 (28).png',1.1105,2.0564,1.985,0.4895,0.2319,0.254,-0.0048,-0.0047,-0.004,Clean
 'Clean_water\\2022-11-02 (29).png',1.6532,2.1153,2.1494,0.2695,0.1063,0.1084,0.0001,-0.0065,-0.0019,Clean
 'Clean_water\\2022-11-02 (3).png',0.0414,1.5072,1.5718,0.1675,0.1957,0.1662,0.0406,0.0057,0.0107,Clean
 'Clean_water\\2022-11-02 (30).png',1.5721,2.056,2.1473,0.5955,0.1728,0.0844,-0.0126,-0.0251,-0.0135,Clean
 'Clean_water\\2022-11-02 (32).png',0.1276,1.5333,1.6978,0.1745,0.1487,0.0631,0.018,-0.0027,0.0001,Clean
 'Clean_water\\2022-11-02 (33).png',0.0174,1.4419,1.9957,0.0136,0.125,0.09,0.0042,-0.0046,-0.0063,Clean
 'Clean_water\\2022-11-02 (34).png',1.0071,2.0582,2.2141,0.6411,0.1793,0.1027,-0.0018,-0.0036,0.0012,Clean
 'Clean_water\\2022-11-02 (35).png',1.7425,2.184,2.2418,0.6277,0.1408,0.0834,-0.0082,-0.0077,-0.0026,Clean
 'Clean_water\\2022-11-02 (36).png',0.1027,1.5877,1.6243,0.0437,0.0944,0.1125,0.004,0.0005,-0.0072,Clean
 'Clean_water\\2022-11-02 (37).png',1.2745,2.0521,1.7585,0.3236,0.0712,0.076,0.0075,-0.0006,-0.0024,Clean
 'Clean_water\\2022-11-02 (38).png',0.6259,1.8516,1.7858,0.6271,0.2084,0.1418,0.0057,-0.0004,-0.0035,Clean
 'Clean_water\\2022-11-02 (39).png',2.2232,2.1718,2.0242,0.1868,0.0975,0.1178,-0.012,0.0023,0.0025,Clean
 'Clean_water\\2022-11-02 (40).png',0.0518,1.1543,1.8366,0.1262,0.3834,0.2802,0.0342,0.0081,0.0043,Clean
 'Clean_water\\2022-11-02 (41).png',0.5128,1.6124,2.1036,0.765,0.624,0.3645,0.0131,0.0004,-0.0032,Clean
 'Clean_water\\2022-11-02 (42).png',2.2151,2.1571,2.018,0.2194,0.1364,0.1488,-0.0116,0.0004,0.0041,Clean
 'Clean_water\\2022-11-02 (43).png',0.0253,0.8694,1.4705,0.0438,0.3326,0.4578,0.0243,0.0012,-0.0005,Clean
 'Clean_water\\2022-11-02 (44).png',1.2454,1.8484,2.3243,0.3111,0.2458,0.1376,0.0113,0.0089,0.0007,Clean
 'Clean_water\\2022-11-02 (45).png',1.2095,1.8201,2.2431,0.3027,0.2068,0.1112,0.005,0.0059,0.0067,Clean
 'Clean_water\\2022-11-02 (46).png',2.0905,2.1008,1.8397,0.1569,0.143,0.1825,-0.0005,-0.001,0.0005,Clean
 'Clean_water\\2022-11-02 (48).png',1.0177,2.1979,2.1278,0.5249,0.0956,0.0914,-0.0062,0.005,-0.0038,Clean
 'Clean_water\\2022-11-02 (49).png',1.2422,2.1553,2.03,0.3187,0.1002,0.0907,-0.0073,0.006,0.0007,Clean
 'Clean_water\\2022-11-02 (5).png',0.0481,1.8687,1.9103,0.1356,0.1003,0.0944,0.0377,0.0082,0.0114,Clean
 'Clean_water\\2022-11-02 (50).png',0.5802,2.1457,2.1538,0.4596,0.0947,0.0576,0.002,0.0037,-0.0016,Clean
 'Clean_water\\2022-11-02 (51).png',0.1737,2.1509,1.9258,0.299,0.239,0.2505,0.0297,-0.0089,-0.0069,Clean
 'Clean_water\\2022-11-02 (52).png',0.2794,2.1472,1.9369,0.3983,0.3187,0.3242,0.0139,-0.0124,-0.0097,Clean
 'Clean_water\\2022-11-02 (53).png',1.97,2.3121,2.2712,0.2037,0.1101,0.1026,-0.0006,0.0003,0.0006,Clean
 'Clean_water\\2022-11-02 (54).png',1.3176,2.111,2.1772,0.2768,0.2121,0.1647,0.0009,-0.0142,-0.0105,Clean
 'Clean_water\\2022-11-02 (55).png',1.1625,1.9582,1.9909,0.5459,0.1933,0.1216,0.0009,-0.0104,-0.0136,Clean
 'Clean_water\\2022-11-02 (56).png',1.8805,2.253,2.2548,0.3737,0.1109,0.0915,-0.0101,-0.0338,-0.0114,Clean
 'Clean_water\\2022-11-02 (57).png',1.5599,2.1777,2.1496,0.5142,0.1348,0.0974,0.0022,-0.0055,-0.0096,Clean
 'Clean_water\\2022-11-02 (58).png',0.3337,1.6299,2.035,0.3107,0.2522,0.1472,0.0138,-0.0059,-0.0101,Clean
 'Clean_water\\2022-11-02 (60).png',1.5575,2.1444,2.2264,0.5424,0.2294,0.1159,-0.0189,-0.0211,-0.0163,Clean
 'Clean_water\\2022-11-02 (62).png',1.4638,2.1288,2.1312,0.7085,0.1592,0.1268,-0.0052,-0.0051,-0.0015,Clean
 'Clean_water\\2022-11-02 (63).png',1.4169,2.0909,1.943,0.8007,0.1644,0.1201,-0.0071,-0.0086,0.0016,Clean
 'Clean_water\\2022-11-02 (64).png',1.3736,2.1486,2.2154,0.5787,0.2621,0.269,-0.0085,-0.0135,-0.0108,Clean
 'Clean_water\\2022-11-02 (65).png',0.2838,1.5119,1.7352,0.3501,0.522,0.4875,0.0152,0.0009,0.001,Clean
 'Clean_water\\2022-11-02 (66).png',1.2911,1.7117,1.4318,0.1584,0.0958,0.1186,0.0101,-0.0059,0.0034,Clean
